"scientific.name","common.name","iconic.taxon.name","groups","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","source","checklist","count","pic.name"
"Melanitta americana","black scoter","Aves","Birds",2023-02-21,"Schooner Head Overlook",44.3393796481,-68.1784563884,184,"cvschmitt",256926,"false","https://www.inaturalist.org/observations/149345084","https://inaturalist-open-data.s3.amazonaws.com/photos/257328303/medium.jpeg","iNaturalist",NA,1,"black scoter_cvschmitt_1"
"Spinus pinus","pine siskin","Aves","Birds",2023-02-25,"Mt Desert, ME, USA",44.3343573516,-68.274596715,31,"wanderingeden",4465482,"false","https://www.inaturalist.org/observations/149697778","https://inaturalist-open-data.s3.amazonaws.com/photos/257992828/medium.jpeg","iNaturalist",NA,1,"pine siskin_wanderingeden_2"
"Bubo scandiacus","snowy owl","Aves","Birds",2023-02-25,"Mt Desert, ME, USA",44.3387502225,-68.2709433371,26,"wanderingeden",4465482,"false","https://www.inaturalist.org/observations/149697078","https://inaturalist-open-data.s3.amazonaws.com/photos/257990792/medium.jpeg","iNaturalist",NA,1,"snowy owl_wanderingeden_3"
"Picea rubens","red spruce","Plantae","Plants",2023-02-25,"Bar Harbor, ME, USA",44.3137902132,-68.1957116315,4,"wanderingeden",4465482,"false","https://www.inaturalist.org/observations/149696361","https://inaturalist-open-data.s3.amazonaws.com/photos/257990042/medium.jpeg","iNaturalist",NA,1,"red spruce_wanderingeden_4"
"Lophodytes cucullatus","hooded merganser","Aves","Birds",2023-02-23,"Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3545283333,-68.2450333333,4,"endretoth",3687602,"false","https://www.inaturalist.org/observations/149517872","https://inaturalist-open-data.s3.amazonaws.com/photos/257657623/medium.jpg","iNaturalist",NA,1,"hooded merganser_endretoth_5"
"Certhia americana","brown creeper","Aves","Birds",2023-02-25,"Mt Desert, ME, USA",44.3283250726,-68.2836751731,27,"wanderingeden",4465482,"false","https://www.inaturalist.org/observations/149698098","https://inaturalist-open-data.s3.amazonaws.com/photos/257993564/medium.jpeg","iNaturalist",NA,1,"brown creeper_wanderingeden_6"
"Bonasa umbellus","ruffed grouse","Aves","Birds",2023-02-23,"Acadia National Park, Bar Harbor, ME, US",44.3544762349,-68.245022446,342,"endretoth",3687602,"false","https://www.inaturalist.org/observations/149497644","https://inaturalist-open-data.s3.amazonaws.com/photos/257657484/medium.jpg","iNaturalist",NA,1,"ruffed grouse_endretoth_7"
"Sitta canadensis","red-breasted nuthatch","Aves","Birds",2023-02-25,"Mt Desert, ME, USA",44.3262145455,-68.2899488451,15,"wanderingeden",4465482,"false","https://www.inaturalist.org/observations/149696531","https://inaturalist-open-data.s3.amazonaws.com/photos/257990309/medium.jpeg","iNaturalist",NA,1,"red-breasted nuthatch_wanderingeden_8"
"Empetrum nigrum","black crowberry","Plantae","Plants",2023-02-24,"Bar Harbor, ME 04609, USA",44.3088539,-68.1887856,NA,"wanderingeden",4465482,"false","https://www.inaturalist.org/observations/149603712","https://inaturalist-open-data.s3.amazonaws.com/photos/257818344/medium.jpeg","iNaturalist",NA,1,"black crowberry_wanderingeden_9"
"Parmotrema crinitum","salted ruffle lichen","Fungi","Fungi and lichens",2023-02-23,"Southwest Harbor, ME 04679, USA",44.2370750997,-68.3034470997,NA,"wanderingeden",4465482,"false","https://www.inaturalist.org/observations/149549118","https://inaturalist-open-data.s3.amazonaws.com/photos/257717155/medium.jpeg","iNaturalist",NA,1,"salted ruffle lichen_wanderingeden_10"
